,SYMBOL,BID,BIDSIZ,OFR,OFRSIZ,PRICE,SIZE
3512,KO,62.11,27,62.13,20,62.12,100.0
3513,KO,62.12,8,62.13,41,62.12,19.0
3514,KO,62.13,22,62.14,19,62.13,125.0
3515,KO,62.13,23,62.15,21,62.14,3.0
3516,KO,62.13,21,62.15,37,62.14,177.0
3517,KO,62.14,27,62.16,17,62.15,3.0
3518,KO,62.14,17,62.15,5,62.14,15.0
3519,KO,62.16,18,62.17,21,62.16,6.0
3520,KO,62.16,29,62.17,2,62.17,200.0
3521,KO,62.16,12,62.17,27,62.17,100.0
3522,KO,62.15,22,62.17,39,62.16,50.0
3523,KO,62.15,22,62.17,39,62.16,271.0
3524,KO,62.17,11,62.18,21,62.17,1000.0
3525,KO,62.16,18,62.17,16,62.17,601.0
3526,KO,62.16,13,62.17,11,62.165,20.0
3527,KO,62.16,5,62.17,16,62.16,399.0
3528,KO,62.16,5,62.17,20,62.16,75.0
3529,KO,62.15,20,62.17,22,62.16,41.0
3530,KO,62.15,18,62.17,30,62.16,200.0
3531,KO,62.15,15,62.17,34,62.16,26.0
3532,KO,62.16,11,62.17,17,62.16,100.0
3533,KO,62.17,20,62.18,21,62.17,101.0
3534,KO,62.17,10,62.18,12,62.175,69.0
3535,KO,62.18,15,62.19,17,62.18,86.0
3536,KO,62.18,15,62.19,33,62.18,100.0
3537,KO,62.18,16,62.19,31,62.18,100.0
3538,KO,62.17,21,62.19,40,62.18,700.0
3539,KO,62.18,5,62.19,25,62.18,100.0
3540,KO,62.18,5,62.19,13,62.18,100.0
3541,KO,62.18,21,62.19,7,62.19,100.0
3542,KO,62.19,18,62.2,16,62.19,100.0
3543,KO,62.18,18,62.2,32,62.19,342.0
3544,KO,62.18,17,62.19,10,62.19,95.0
3545,KO,62.18,19,62.19,7,62.19,87.0
3546,KO,62.18,19,62.2,34,62.19,200.0
3547,KO,62.18,14,62.19,9,62.19,217.0
3548,KO,62.18,35,62.2,18,62.19,45.0
3549,KO,62.19,5,62.2,22,62.19,100.0
3550,KO,62.19,4,62.2,22,62.19,476.0
3551,KO,62.19,4,62.2,22,62.19,200.0
3552,KO,62.17,24,62.18,24,62.18,1300.0
3553,KO,62.18,19,62.19,17,62.185,1.0
3554,KO,62.17,19,62.19,30,62.18,300.0
3555,KO,62.17,3,62.18,27,62.17,230.0
3556,KO,62.16,15,62.17,17,62.16,200.0
3557,KO,62.17,20,62.18,16,62.17,200.0
3558,KO,62.16,19,62.18,31,62.17,38.0
3559,KO,62.15,13,62.16,22,62.16,100.0
3560,KO,62.14,14,62.16,32,62.15,500.0
3561,KO,62.15,25,62.17,15,62.16,62.0
3562,KO,62.16,21,62.17,9,62.16,143.0
3563,KO,62.16,20,62.18,10,62.17,75.0
3564,KO,62.16,33,62.18,10,62.17,202.0
3565,KO,62.17,10,62.18,9,62.17,26.0
3566,KO,62.17,25,62.19,13,62.18,400.0
3567,KO,62.18,24,62.2,12,62.19,200.0
3568,KO,62.18,19,62.2,15,62.19,353.0
3569,KO,62.17,21,62.19,29,62.18,62.0
3570,KO,62.18,3,62.19,20,62.18,100.0
3571,KO,62.17,19,62.19,41,62.18,1100.0
3572,KO,62.16,17,62.18,26,62.17,700.0
3573,KO,62.16,14,62.17,19,62.17,36.0
3574,KO,62.16,24,62.18,23,62.17,79.0
3575,KO,62.17,21,62.18,8,62.17,200.0
3576,KO,62.17,23,62.18,1,62.18,100.0
3577,KO,62.2,13,62.21,17,62.2,105.0
3578,KO,62.19,19,62.21,18,62.2,600.0
3579,KO,62.2,4,62.21,20,62.2,100.0
3580,KO,62.19,5,62.2,29,62.19,25.0
3581,KO,62.18,43,62.19,1,62.19,100.0
3582,KO,62.19,7,62.2,18,62.19,1.0
3583,KO,62.18,23,62.19,21,62.19,200.0
3584,KO,62.18,36,62.2,17,62.19,1.0
3585,KO,62.18,31,62.2,30,62.19,600.0
3586,KO,62.19,5,62.2,16,62.19,400.0
3587,KO,62.18,31,62.2,17,62.19,300.0
3588,KO,62.18,28,62.19,16,62.19,200.0
3589,KO,62.18,36,62.19,1,62.19,300.0
3590,KO,62.18,17,62.2,31,62.19,300.0
3591,KO,62.18,17,62.2,29,62.19,100.0
3592,KO,62.19,5,62.2,18,62.19,100.0
3593,KO,62.18,18,62.19,19,62.19,200.0
3594,KO,62.17,16,62.18,22,62.18,100.0
3595,KO,62.16,15,62.17,14,62.17,701.0
3596,KO,62.15,14,62.16,15,62.16,126.0
3597,KO,62.14,14,62.16,28,62.15,416.0
3598,KO,62.14,12,62.15,5,62.15,441.0
3599,KO,62.14,14,62.15,21,62.15,25.0
3600,KO,62.14,15,62.15,19,62.145,100.0
3601,KO,62.14,1,62.15,38,62.14,40.0
3602,KO,62.14,5,62.15,17,62.14,77.0
3603,KO,62.13,14,62.15,29,62.14,20.0
3604,KO,62.14,1,62.15,27,62.14,100.0
3605,KO,62.13,14,62.14,28,62.14,400.0
3606,KO,62.12,21,62.14,31,62.12,700.0
3607,KO,62.1,14,62.11,26,62.11,5.0
3608,KO,62.1,27,62.12,20,62.11,68.0
3609,KO,62.1,3,62.11,29,62.1,42.0
3610,KO,62.1,2,62.11,15,62.1,68.0
3611,KO,62.09,19,62.11,27,62.1,70.0
3612,KO,62.09,19,62.11,27,62.1,30.0
3613,KO,62.09,18,62.11,16,62.1,1030.0
3614,KO,62.1,13,62.12,38,62.11,1401.0
3615,KO,62.11,26,62.12,9,62.12,2000.0
3616,KO,62.12,16,62.13,20,62.12,273.0
3617,KO,62.12,13,62.13,2,62.13,1.0
3618,KO,62.11,16,62.12,23,62.12,100.0
3619,KO,62.11,2,62.12,40,62.11,53.0
3620,KO,62.11,2,62.12,31,62.11,49.0
3621,KO,62.1,16,62.11,11,62.11,199.0
3622,KO,62.1,5,62.11,17,62.11,32.0
3623,KO,62.11,23,62.12,31,62.11,200.0
3624,KO,62.11,30,62.13,18,62.12,608.0
3625,KO,62.11,15,62.12,11,62.12,100.0
3626,KO,62.1,26,62.11,14,62.11,3.0
3627,KO,62.1,13,62.11,19,62.1,125.0
3628,KO,62.09,12,62.1,21,62.1,22.0
3629,KO,62.09,3,62.1,31,62.09,55.0
3630,KO,62.09,2,62.1,26,62.09,100.0
3631,KO,62.08,13,62.1,30,62.09,200.0
3632,KO,62.09,10,62.11,22,62.1,2000.0
3633,KO,62.1,25,62.12,21,62.11,1600.0
3634,KO,62.11,20,62.12,11,62.12,43.0
3635,KO,62.11,22,62.12,10,62.12,106.0
3636,KO,62.11,17,62.12,9,62.12,80.0
3637,KO,62.11,2,62.12,19,62.11,94.0
3638,KO,62.1,20,62.11,16,62.11,406.0
